Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,Credit_History,Property_Area,Loan_Status
Male,Yes,1,Graduate,No,4583,1508,1,Rural,N
Male,Yes,0,Graduate,Yes,3000,0,1,Urban,Y
Male,Yes,0,Not Graduate,No,2583,2358,1,Urban,Y
Male,No,0,Graduate,No,6000,0,1,Urban,Y
Male,Yes,0,Not Graduate,No,2333,1516,1,Urban,Y
Male,Yes,2,Graduate,No,3200,700,1,Urban,Y
Male,Yes,2,Graduate,,2500,1840,1,Urban,Y
Male,No,0,Graduate,No,1853,2840,1,Rural,N
Male,Yes,2,Graduate,No,1299,1086,1,Urban,Y
Male,No,0,Graduate,No,4950,0,1,Urban,Y
Male,No,1,Not Graduate,No,3596,0,,Urban,Y
Female,No,0,Graduate,No,3510,0,0,Urban,N
Male,Yes,0,Not Graduate,No,4887,0,1,Rural,N
Male,Yes,0,Graduate,,2600,3500,1,Urban,Y
Male,Yes,0,Not Graduate,No,7660,0,0,Urban,N
Male,Yes,0,Not Graduate,No,2600,1911,0,Semiurban,N
,Yes,2,Not Graduate,No,3365,1917,0,Rural,N
Male,Yes,0,Graduate,No,2799,2253,1,Semiurban,Y
Male,Yes,2,Not Graduate,No,4226,1040,1,Urban,Y
Male,No,0,Not Graduate,No,1442,0,1,Urban,N
Female,No,2,Graduate,,3750,2083,1,Semiurban,Y
Male,No,0,Graduate,No,3167,0,1,Urban,N
Male,No,1,Graduate,Yes,4692,0,1,Rural,N
Male,Yes,0,Graduate,No,3500,1667,1,Semiurban,Y
Male,Yes,0,Graduate,No,1828,1330,0,Urban,N
Female,Yes,0,Graduate,No,3667,1459,1,Semiurban,Y
Male,No,0,Not Graduate,No,3748,1668,1,Semiurban,Y
Male,No,0,Graduate,No,3600,0,1,Urban,N
Male,No,0,Graduate,No,1800,1213,1,Urban,Y
Male,Yes,0,Graduate,No,2400,0,,Urban,Y
Male,Yes,0,Graduate,No,3941,2336,1,Semiurban,Y
Male,Yes,0,Not Graduate,Yes,4695,0,1,Urban,Y
Female,No,0,Graduate,No,3410,0,1,Urban,Y
Male,Yes,1,Graduate,No,5649,0,1,Urban,Y
Male,Yes,0,Graduate,No,5821,0,1,Urban,Y
Female,Yes,0,Graduate,No,2645,3440,0,Urban,N
Female,No,0,Graduate,No,4000,2275,1,Semiurban,Y
Female,Yes,0,Not Graduate,No,1928,1644,1,Semiurban,Y
Female,No,0,Graduate,No,3086,0,1,Semiurban,Y
Female,No,0,Graduate,No,4230,0,1,Semiurban,N
Male,Yes,2,Graduate,No,4616,0,1,Urban,N
Male,Yes,2,Graduate,No,2708,1167,1,Semiurban,Y
Male,Yes,0,Graduate,No,2132,1591,1,Semiurban,Y
Male,Yes,0,Graduate,No,3366,2200,1,Rural,N
Male,Yes,2,Not Graduate,No,3357,2859,1,Urban,Y
Male,Yes,0,Graduate,No,2500,3796,1,Urban,Y
Male,Yes,3+,Graduate,No,3029,0,1,Urban,Y
Female,No,0,Graduate,No,4166,0,0,Semiurban,N
Male,No,0,Not Graduate,No,3200,2254,0,Urban,N
Male,Yes,3+,Not Graduate,Yes,7100,0,1,Urban,Y
Female,No,0,Graduate,No,4300,0,0,Semiurban,N
Male,Yes,2,Not Graduate,Yes,1875,1875,1,Semiurban,Y
Male,No,0,Graduate,No,3500,0,1,Semiurban,Y
Male,Yes,3+,Not Graduate,No,4755,0,0,Semiurban,N
Male,No,0,Graduate,No,3750,0,1,Urban,N
Male,Yes,1,Graduate,Yes,1000,3022,1,Urban,N
Male,Yes,3+,Not Graduate,Yes,3333,2166,,Semiurban,Y
Female,No,0,Graduate,No,3846,0,1,Semiurban,Y
Male,Yes,1,Graduate,No,3988,0,1,Urban,Y
Male,No,0,Graduate,No,2366,2531,1,Semiurban,Y
Male,Yes,2,Not Graduate,No,3333,2000,,Semiurban,Y
Male,Yes,0,Graduate,No,2500,2118,1,Semiurban,Y
Male,Yes,0,Graduate,No,2958,2900,1,Semiurban,Y
Male,Yes,2,Not Graduate,No,3273,1820,1,Urban,Y
Male,No,0,Graduate,No,4133,0,1,Semiurban,Y
Male,No,0,Not Graduate,No,3620,0,1,Semiurban,Y
Female,Yes,0,Graduate,No,2484,2302,1,Semiurban,Y
Male,Yes,0,Graduate,No,1977,997,1,Semiurban,Y
Male,Yes,0,Not Graduate,No,4188,0,1,Semiurban,Y
Male,Yes,0,Graduate,No,1759,3541,1,Semiurban,Y
Male,Yes,2,Not Graduate,No,4288,3263,1,Urban,Y
Male,Yes,1,Graduate,No,3052,1030,1,Urban,Y
Male,No,0,Not Graduate,,7333,0,1,Rural,N
Male,Yes,3+,Not Graduate,No,2071,754,1,Semiurban,Y
Male,No,0,Graduate,No,5316,0,1,Urban,Y
Female,Yes,0,Graduate,,2929,2333,1,Semiurban,Y
Male,No,0,Graduate,,5050,0,1,Semiurban,Y
Male,Yes,1,Graduate,No,2214,1398,,Urban,Y
Female,No,0,Graduate,No,4166,0,1,Semiurban,Y
Female,No,0,Graduate,No,2137,8980,0,Semiurban,Y
Male,Yes,2,Graduate,No,2957,0,1,Semiurban,Y
Female,No,0,Graduate,No,3692,0,,Rural,Y
Male,No,0,Graduate,No,2014,1929,1,Urban,Y
Male,No,0,Graduate,No,2718,0,1,Semiurban,Y
Male,Yes,0,Graduate,Yes,3459,0,1,Semiurban,Y
Male,No,0,Graduate,No,4895,0,1,Semiurban,Y
Female,Yes,0,Graduate,No,4583,0,1,Rural,N
Male,Yes,2,Graduate,Yes,3316,3500,1,Urban,Y
Male,Yes,2,Not Graduate,No,4200,1430,1,Rural,N
Male,Yes,0,Graduate,No,2698,2034,1,Semiurban,Y
Female,Yes,0,Graduate,No,2330,4486,1,Semiurban,Y
Male,Yes,1,Graduate,No,1538,1425,1,Urban,Y
Male,Yes,0,Graduate,No,4860,830,1,Semiurban,Y
Male,No,0,Graduate,No,6277,0,0,Rural,N
Male,Yes,2,Not Graduate,No,2281,0,1,Rural,N
Male,No,0,Graduate,No,3254,0,1,Urban,Y
Male,No,0,Graduate,,2980,2083,1,Rural,Y
Male,Yes,0,Not Graduate,No,1863,1041,1,Semiurban,Y
Male,Yes,1,Graduate,No,3089,1280,0,Semiurban,N
Male,Yes,0,Graduate,No,9323,0,1,Urban,Y
Female,Yes,0,Graduate,No,4583,0,1,Rural,N
Male,Yes,0,Graduate,No,2439,3333,1,Rural,Y
Male,No,0,Graduate,No,2237,0,0,Semiurban,N
Male,Yes,0,Not Graduate,,1820,1769,1,Rural,Y
Male,Yes,3+,Not Graduate,No,3522,0,1,Rural,N
Male,Yes,0,Not Graduate,Yes,4344,736,1,Semiurban,N
Male,Yes,0,Graduate,No,3497,1964,1,Rural,Y
Male,Yes,2,Graduate,No,2045,1619,1,Rural,Y
Male,Yes,1,Graduate,No,3750,0,1,Semiurban,Y
Male,No,0,Not Graduate,No,2333,1451,0,Urban,N
Male,No,0,Graduate,No,1916,5063,,Rural,N
Male,Yes,0,Graduate,No,4600,0,1,Semiurban,Y
Female,Yes,0,Graduate,No,3625,0,1,Semiurban,Y
Male,Yes,1,Graduate,Yes,2178,0,0,Rural,N
Male,Yes,0,Graduate,No,2383,2138,,Rural,Y
Male,No,0,Not Graduate,No,4885,0,1,Rural,Y
